Info 120  [14:54:55.941] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false Elapsed: 4ms
Info 121  [14:54:55.941] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 122  [14:54:56.86] Structure before ensureProjectForOpenFiles:
Info 123  [14:54:56.86] Structure after ensureProjectForOpenFiles:
Info 124  [14:54:56.87] got projects updated in background, updating diagnostics for /Users/simon/github/codes/python/files/test.js
Info 125  [14:54:56.101] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 126  [14:54:56.104] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false Elapsed: 3ms
Info 127  [14:54:56.104] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 128  [14:54:56.218] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 129  [14:54:56.221] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false Elapsed: 3ms
Info 130  [14:54:56.221] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 131  [14:54:56.427] getCompletionData: Get current token: 0
Info 132  [14:54:56.427] getCompletionData: Is inside comment: 0
Info 133  [14:54:56.427] getCompletionData: Get previous token 1: 0
Info 134  [14:54:56.428] getCompletionData: Get previous token 2: 1
Info 135  [14:54:56.428] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 136  [14:54:56.429] getCompletionData: Semantic work: 1
Info 137  [14:54:56.432] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 2
Info 138  [14:54:56.490] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 139  [14:54:56.497] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false Elapsed: 6ms
Info 140  [14:54:56.497] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 141  [14:54:56.744] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 142  [14:54:56.747] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false Elapsed: 3ms
Info 143  [14:54:56.747] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 144  [14:54:57.5] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 145  [14:54:57.9] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false Elapsed: 4ms
Info 146  [14:54:57.9] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 147  [14:54:57.187] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 148  [14:54:57.189] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: false Elapsed: 2ms
Info 149  [14:54:57.189] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 150  [14:54:57.536] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 151  [14:54:57.551] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: false Elapsed: 15ms
Info 152  [14:54:57.551] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 153  [14:54:57.884] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 154  [14:54:57.888] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: false Elapsed: 4ms
Info 155  [14:54:57.888] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 156  [14:54:58.43] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 157  [14:54:58.46] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: false Elapsed: 2ms
Info 158  [14:54:58.46] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 159  [14:54:58.383] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 160  [14:54:58.386] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: false Elapsed: 3ms
Info 161  [14:54:58.386] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 162  [14:55:0.327] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 163  [14:55:0.329] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 45 structureChanged: false Elapsed: 2ms
Info 164  [14:55:0.329] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 165  [14:55:1.551] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 166  [14:55:1.555] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 46 structureChanged: false Elapsed: 4ms
Info 167  [14:55:1.555] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 168  [14:55:1.575] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 169  [14:55:1.579] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 47 structureChanged: false Elapsed: 4ms
Info 170  [14:55:1.579] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 171  [14:55:1.639] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 172  [14:55:1.643] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 48 structureChanged: false Elapsed: 4ms
Info 173  [14:55:1.643] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 174  [14:55:1.761] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
